Geo Point;Geo Shape;gid;geom_o;geom_err;ident;id_local;libelle;adresse;insee;implantation;actif;nb_place;nb_pmr;nb_irve;condition_acces;accessibilite_24_24;gestionnaire;cdate;mdate
44.7972933, -0.5532474;"{""coordinates"": [-0.5532474, 44.7972933], ""type"": ""Point""}";1408;0;;33039-C-001;2;Parc-relais Gare de Begles;avenue Lenine 33130 Begles;33039;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8783587, -0.5187852;"{""coordinates"": [-0.5187852, 44.8783587], ""type"": ""Point""}";1416;0;;33249-C-004;15;Parc-relais Laurriers;rue Victor Hugo 33310 Lormont;33249;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8647637, -0.5245629;"{""coordinates"": [-0.5245629, 44.8647637], ""type"": ""Point""}";1417;0;;33249-C-005;16;Parc-relais Buttiniere;route de Bordeaux 33130 Lormont;33249;PARKING_RELAIS;True;10;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8060586, -0.6007667;"{""coordinates"": [-0.6007667, 44.8060586], ""type"": ""Point""}";1423;0;;33522-C-001;26;Parc-relais Arts et Metiers;avenue de l'Universite 33400 Talence;33522;PARKING_RELAIS;True;10;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-12-08T16:01:56+01:00
44.8382085, -0.5575964;"{""coordinates"": [-0.5575964, 44.8382085], ""type"": ""Point""}";1427;0;;33063-C-004;6;Parc-relais Stalingrad;rue Letellier 33000 Bordeaux;33063;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.8734473, -0.5755715;"{""coordinates"": [-0.5755715, 44.8734473], ""type"": ""Point""}";1429;0;;33063-C-006;8;Parc-relais Les Aubiers;rue du Jonc 33000 Bordeaux;33063;PARKING_RELAIS;True;5;0;0;SOUS_CONDITION;False;TRANSPORTS_BM;2019-11-15T15:03:23+01:00;2021-11-18T15:24:02+01:00
44.9179397, -0.6348042;"{""coordinates"": [-0.6348042, 44.9179397], ""type"": ""Point""}";1433;0;;33056-C-002;34;Blanquefort Breillan - De Gaulle;avenue de Breillan-angle avenue De Gaulle 33290 Blanquefort;33056;VOIRIE_PUBLIQUE;True;4;0;0;LIBRE;True;BORDEAUX_METROPOLE;2020-12-15T10:21:28+01:00;2021-11-18T15:24:02+01:00
44.9302149, -0.6372672;"{""coordinates"": [-0.6372672, 44.9302149], ""type"": ""Point""}";1434;0;;33056-C-003;35;Blanquefort Eglise de Caychac;rue Edmond Blanc-angle rue Mathurin Olivier 33290 Blanquefort;33056;VOIRIE_PUBLIQUE;True;4;0;0;LIBRE;True;BORDEAUX_METROPOLE;2020-12-15T11:01:04+01:00;2021-11-18T15:24:02+01:00
44.8140009, -0.712618;"{""coordinates"": [-0.712618, 44.8140009], ""type"": ""Point""}";1437;0;;33281-C-009;53;Beutre / BA106;341 avenue de l'Argonne 33700 Merignac;33281;VOIRIE_PUBLIQUE;True;50;0;0;LIBRE;True;BORDEAUX_METROPOLE;2017-12-05T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8691516, -0.6364466;"{""coordinates"": [-0.6364466, 44.8691516], ""type"": ""Point""}";1372;0;;33162-C-007;42;Parking rue des Jasmins;2 rue des jasmins 33320 Eysines;33162;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8303192, -0.6794236;"{""coordinates"": [-0.6794236, 44.8303192], ""type"": ""Point""}";1374;0;;33281-C-006;50;Decathlon Oxylane;2 rue Hipparque 33700 Merignac;33281;VOIRIE_PRIVEE;True;5;0;0;LIBRE;True;PRIVE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8157472, -0.67998;"{""coordinates"": [-0.67998, 44.8157472], ""type"": ""Point""}";1378;0;;33281-C-007;51;Aire du crematorium;Allee du Souvenir 33700 Merignac;33281;VOIRIE_PUBLIQUE;True;38;0;0;LIBRE;True;BORDEAUX_METROPOLE;2017-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.9038637, -0.746765;"{""coordinates"": [-0.746765, 44.9038637], ""type"": ""Point""}";1380;0;;33434-C-004;63;Aire Intermarche Picot;avenue Leon Blum 33160 Saint Medard en Jalles;33449;VOIRIE_PRIVEE;True;5;0;0;LIBRE;True;PRIVE;2014-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.944626, -0.6189726;"{""coordinates"": [-0.6189726, 44.944626], ""type"": ""Point""}";1382;0;;33312-C-002;57;Parking Intermodal;93 rue de la Gare 33290 Parempuyre;33312;VOIRIE_PUBLIQUE;True;10;0;0;LIBRE;True;BORDEAUX_METROPOLE;2013-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8855456, -0.5975269;"{""coordinates"": [-0.5975269, 44.8855456], ""type"": ""Point""}";1384;0;;33075-C-001;38;Chemin de Bacchus;5-7 chemin de Bacchus 33520 Bruges;33075;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.7859304, -0.6382826;"{""coordinates"": [-0.6382826, 44.7859304], ""type"": ""Point""}";1388;0;;33318-C-002;58;Aire Geant Casino Pessac Bersol;5 avenue de la Tuileranne 33600 Pessac;33318;VOIRIE_PRIVEE;True;5;0;0;LIBRE;True;PRIVE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
44.8339393, -0.6861083;"{""coordinates"": [-0.6861083, 44.8339393], ""type"": ""Point""}";1389;0;;33281-C-010;54;Parking rue Ariane;34 rue Ariane 33700 Merignac;33281;VOIRIE_PUBLIQUE;True;5;0;0;LIBRE;True;BORDEAUX_METROPOLE;2015-01-01T00:00:00+01:00;2021-11-18T15:24:02+01:00
