Bateau;Date passage;Fermeture a la circulation;Re-ouverture a la circulation;Type de fermeture;Fermeture totale
MAINTENANCE;2024-01-21;23:00;05:00;Totale;oui
Les étoiles filantes;2024-02-14;09:59;11:07;Totale;oui
FRIDJT OF NANSEN;2024-04-27;09:19;10:27;Totale;oui
SIRENA;2024-05-06;06:04;07:12;Totale;oui
SILVER DAWN;2024-05-08;18:49;20:12;Totale;oui
BALMORAL;2024-05-13;23:04;00:27;Totale;oui
NATIONAL GEOGRPHIC EXPLORER;2024-05-20;05:04;06:12;Totale;oui
NATIONAL GEOGRPHIC EXPLORER;2024-05-20;17:34;18:57;Totale;oui
SEVEN SEAS SPLENDOR;2024-05-26;08:49;11:07;Totale;oui
SEVEN SEAS SPLENDOR;2024-05-27;21:04;22:27;Totale;oui
STAR LEGEND;2024-06-01;02:19;03:27;Totale;oui
STAR LEGEND;2024-06-01;15:19;16:42;Totale;oui
WORLD VOYAGER;2024-06-04;05:19;06:27;Totale;oui
SILVER SPIRIT;2024-06-06;07:04;08:27;Totale;oui
MARINA/NAUTICA;2024-06-18;16:34;18:17;Totale;oui
NAUTICA;2024-06-19;17:34;18:57;Totale;oui
SEVEN SEAS VOYAGER;2024-06-23;08:14;09:37;Totale;oui
SEVEN SEAS VOYAGER;2024-06-24;20:19;21:42;Totale;oui
BORDEAUX FETE LE FLEUVE;2024-06-26;10:19;11:57;Totale;oui
MV DEUTSCHLAND;2024-07-02;14:19;15:42;Totale;oui
SEVEN SEAS VOYAGER;2024-07-26;11:04;12:27;Totale;oui
SEVEN SEAS VOYAGER;2024-07-28;13:04;14:27;Totale;oui
EUROPA 2;2024-08-06;20:04;21:27;Totale;oui
SEVEN SEAS MARINER;2024-08-17;16:49;18:12;Totale;oui
SPIRIT OF DISCOVERY;2024-08-25;22:49;00:12;Totale;oui
STAR LEGEND;2024-09-05;18:49;20:12;Totale;oui
SEVEN SEAS NAVIGATOR;2024-09-07;09:49;10:57;Totale;oui
AZAMARA ONWARD;2024-09-14;15:19;16:42;Totale;oui
MARINA;2024-09-16;05:49;07:12;Totale;oui
AMADEA;2024-09-19;19:34;20:57;Totale;oui
