Geo Point;Geo Shape;INSEE;commune;gml_id;GID;IDENT;TYPE;NOM;ETAT;NBPLACES;NBVELOS;NBELEC;NBCLASSIQ;CDATE;MDATE;code_commune;GEOM_O
44.83803, -0.58437;"{""coordinates"": [-0.58437, 44.83803], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.1;1;1;VLS;Meriadeck;CONNECTEE;29;14;7;7;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.83784, -0.59028;"{""coordinates"": [-0.59028, 44.83784], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.2;2;2;VLS;St Bruno;CONNECTEE;10;10;5;5;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.840813, -0.593233;"{""coordinates"": [-0.593233, 44.840813], ""type"": ""Point""}";;Bordeaux;CI_VCUB_P.3;3;3;VLS;Piscine Judaique;CONNECTEE;16;10;4;6;2024-04-20T04:19:01+02:00;2024-10-01T16:36:00+02:00;33063;0
44.84221, -0.58482;"{""coordinates"": [-0.58482, 44.84221], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.4;4;4;VLS;St Seurin;CONNECTEE;17;3;2;1;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.840712, -0.581124;"{""coordinates"": [-0.581124, 44.840712], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.5;5;5;VLS;Place Gambetta;CONNECTEE;31;9;3;6;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.83779, -0.58166;"{""coordinates"": [-0.58166, 44.83779], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.6;6;6;VLS;Square Andre Lhote;MAINTENANCE;40;0;0;0;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.83594, -0.58211;"{""coordinates"": [-0.58211, 44.83594], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.7;7;7;VLS;Palais de Justice;CONNECTEE;10;8;1;7;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.83176, -0.59868;"{""coordinates"": [-0.59868, 44.83176], ""type"": ""Point""}";;Bordeaux;CI_VCUB_P.9;9;10;VLS;Stade Chaban Delmas;CONNECTEE;10;12;7;5;2024-04-10T16:32:01+02:00;2024-10-01T16:36:00+02:00;33063;0
44.84166, -0.5997;"{""coordinates"": [-0.5997, 44.84166], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.10;10;11;VLS;Cite Administrative;CONNECTEE;15;15;8;7;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.85115, -0.60861;"{""coordinates"": [-0.60861, 44.85115], ""type"": ""Point""}";;Bordeaux;CI_VCUB_P.11;11;12;VLS;Grand Lebrun;CONNECTEE;11;5;4;1;2024-04-10T18:33:01+02:00;2024-10-01T16:36:00+02:00;33063;0
44.84837, -0.5981;"{""coordinates"": [-0.5981, 44.84837], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.12;12;13;VLS;Barriere St Medard;CONNECTEE;20;0;0;0;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.84819, -0.59197;"{""coordinates"": [-0.59197, 44.84819], ""type"": ""Point""}";;Bordeaux;CI_VCUB_P.13;13;14;VLS;Dubreuil Turenne;CONNECTEE;29;1;0;1;2024-04-10T17:32:01+02:00;2024-10-01T16:36:00+02:00;33063;0
44.844195, -0.588766;"{""coordinates"": [-0.588766, 44.844195], ""type"": ""Point""}";;Bordeaux;CI_VCUB_P.14;14;15;VLS;Capdeville;CONNECTEE;10;2;1;1;2024-05-04T04:19:01+02:00;2024-10-01T16:36:00+02:00;33063;0
44.84947, -0.54525;"{""coordinates"": [-0.54525, 44.84947], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.15;15;16;VLS;Galin;CONNECTEE;24;6;3;3;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.8469, -0.58219;"{""coordinates"": [-0.58219, 44.8469], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.16;16;17;VLS;Palais Gallien;CONNECTEE;9;5;2;3;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.84423, -0.58164;"{""coordinates"": [-0.58164, 44.84423], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.17;17;18;VLS;Huguerie;CONNECTEE;11;3;2;1;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.84465, -0.57745;"{""coordinates"": [-0.57745, 44.84465], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.18;18;19;VLS;Place Tourny;CONNECTEE;25;5;3;2;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.84314, -0.57724;"{""coordinates"": [-0.57724, 44.84314], ""type"": ""Point""}";;Bordeaux;CI_VCUB_P.19;19;20;VLS;Grands Hommes;CONNECTEE;28;3;1;2;2024-04-10T18:33:01+02:00;2024-10-01T16:36:00+02:00;33063;0
44.84122, -0.5756;"{""coordinates"": [-0.5756, 44.84122], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.20;20;21;VLS;Puy Paulin;CONNECTEE;11;3;2;1;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.83826, -0.57648;"{""coordinates"": [-0.57648, 44.83826], ""type"": ""Point""}";;Bordeaux;CI_VCUB_P.21;21;22;VLS;Hotel de Ville;MAINTENANCE;32;0;0;0;2024-07-17T04:19:00+02:00;2024-10-01T16:36:00+02:00;33063;0
44.83483, -0.58019;"{""coordinates"": [-0.58019, 44.83483], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.22;22;23;VLS;Republique;CONNECTEE;32;8;4;4;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.83325, -0.58308;"{""coordinates"": [-0.58308, 44.83325], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.23;23;24;VLS;Liberation;CONNECTEE;8;8;6;2;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
44.831, -0.58734;"{""coordinates"": [-0.58734, 44.831], ""type"": ""Point""}";33063;Bordeaux;CI_VCUB_P.24;24;25;VLS;Francois de Sourdis;CONNECTEE;11;3;2;1;2011-01-01T01:00:00+01:00;2024-10-01T16:36:00+02:00;33063;0
