gml_id;GID;RS_CHANTIER;COMMUNE;DATE_DEBUT;DATE_FIN;NUMERO_ACTE;TYPE_EMPRISE;MES_LIBELLE;GID_EMPRISE;LOCALISATION_EMPRISE;gid_acte
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.209002;209002;138111;BORDEAUX;2023-10-23;2024-11-10;23BORPT23121;EMPRISE/EMPRISE;Interdiction de stationnement,Neutralisation de voie;264962/264961;du 9 au 13 Rue Jean Dollfus (Bordeaux)/10 Rue Jean Dollfus (Bordeaux);209002
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.217164;217164;142808;BORDEAUX;2024-01-22;2025-02-05;24BORAJPT00240;EMPRISE/DEVIATION;Mise en impasse,Déviation;275146/275147;Rue Maubec, 2 jours dans la période/Quai des Salinières, rue des Faures, 2 jours dans la période;217164
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.224637;224637;144199;BORDEAUX;2024-04-04;2025-04-25;24BORAJPT05866;DEVIATION/EMPRISE/EMPRISE;Déviation,Interdiction de stationnement,Mise en impasse;284358/284359/284357;Cours de la Somme, rue Lafontaine, cours de l'Yser, rue Beaufleury (Bordeaux)/du 37 au 39 Rue Beaufleury (Bordeaux)/du 37 au 39 Rue Beaufleury de rue Kléber et cours de la Somme (Bordeaux);224637
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.225222;225222;147690;BORDEAUX;2024-03-25;2025-04-05;24BORAJPT06365;EMPRISE;Rétrécissement de largeur de voie;285087;97 Rue Chantecrit;225222
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.229092;229092;149359;BORDEAUX;2024-05-27;2025-06-28;24BORAJPT09803;EMPRISE/EMPRISE/EMPRISE/EMPRISE/EMPRISE;"Interdiction de stationnement,Circulation alternée,Interdiction de stationnement,Mise en impasse,Neutralisation de voie;Circulation alternée;Mesure libre circulation";289983/289986/289984/289987/289985;27 Rue Mercière (Bordeaux)/Cours de la Somme, de la Rue Giner de Los Rios jusqu'à la Rue Monadey (Bordeaux)/du 52 au 62 Cours de la Somme (Bordeaux)/Rue Mercière, du 24 jusqu'à la Rue Cruchinet (Bordeaux)/53 Cours de la Somme, angle rue Mercière (Bordeaux);229092
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.228694;228694;151489;BORDEAUX;2024-05-02;2024-11-01;24BORAJPT09233;EMPRISE;Interdiction de tourner;289471;Rue François Daunes;228694
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.226833;226833;149564;BORDEAUX;2024-04-22;2025-04-24;24BORAJPT07774;DEVIATION/EMPRISE;Déviation,Circulation interdite;287128/287127;Cours du Médoc via la rue sainte Philoméne/Place Saint Martial coté pair;226833
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.227521;227521;150032;BORDEAUX;2024-04-22;2025-05-22;24BORAJPT08685;DEVIATION/EMPRISE;Déviation,Circulation interdite;287970/287969;Rue Jean Gabriel Domergue via Allée Alexandre Dumas/entre Allée Alexandre Dumas et la Rue du Cardinal Richaud;227521
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.227761;227761;148477;BORDEAUX;2024-04-22;2025-05-11;24BORAJPT08701;DEVIATION/EMPRISE;Déviation,Circulation interdite;288282/288281;Rue Fondaudege, de la Rue Lhote jusqu'à la Rue du Palais Gallien (Bordeaux) Rue Lafaurie de Monbadon, de la Rue Turenne jusqu'à la Rue Huguerie (Bordeaux) Rue Lhote, de la Rue Huguerie jusqu'à la Rue Fondaudege (Bordeaux) Rue Turenne, de la Rue du Palais Gallien jusqu'à la Rue Lafaurie de Monbadon (Bordeaux) Rue du Palais Gallien, de la Rue Fondaudege jusqu'à la Rue Turenne (Bordeaux)/Rue Huguerie, de la Rue Lhote jusqu'au 33 (Bordeaux);227761
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.232062;232062;152145;BORDEAUX;2024-06-03;2025-06-14;24BORAJPT12013;EMPRISE;"Mesure libre circulation;Neutralisation de voie";293732;du 135 au 137 Boulevard du Président Franklin Roosevelt (Bordeaux);232062
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.230045;230045;149196;BORDEAUX;2024-05-21;2025-05-31;24BORAJPT10484;EMPRISE;"Circulation interdite;Mise en impasse";291180;23 Rue du Pont de la Mousque (Bordeaux);230045
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.231629;231629;6677;BORDEAUX;2024-06-08;2024-10-08;24BORAJPT11598;EMPRISE;"Circulation alternée;Mesure libre circulation";293183;Dans toutes les rues du quartier Nansouty et Saint Genès;231629
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.230603;230603;149202;BORDEAUX;2024-05-21;2025-05-31;24BORAJPT10888;EMPRISE/EMPRISE;Interdiction de stationnement,Mise en impasse;291890/291889;face au 2 rue de Marengo (Bordeaux)/rue de Marengo, entre la Place Camille Pelletan et la rue des Cordeliers;230603
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.233371;233371;144307;BORDEAUX;2024-06-19;2024-12-31;24BORAJPT13024;EMPRISE;Neutralisation de voie;295338;entre Avenue de Labarde et le Parc Des Berges;233371
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.232655;232655;151256;BORDEAUX;2024-06-17;2025-06-26;24BORAJPT12762;EMPRISE;"Circulation interdite;Mise en impasse";294508;13 Rue Michel Montaigne (Bordeaux);232655
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.233743;233743;148477;BORDEAUX;2024-06-11;2025-06-24;24BORAJPT13314;DEVIATION/EMPRISE;Déviation,Circulation interdite;295774/295773;Rue Fondaudege, de la Rue Lhote jusqu'à la Rue du Palais Gallien (Bordeaux) Rue Lafaurie de Monbadon, de la Rue Turenne jusqu'à la Rue Huguerie (Bordeaux) Rue Lhote, de la Rue Huguerie jusqu'à la Rue Fondaudege (Bordeaux) Rue Turenne, de la Rue du Palais Gallien jusqu'à la Rue Lafaurie de Monbadon (Bordeaux) Rue du Palais Gallien, de la Rue Fondaudege jusqu'à la Rue Turenne (Bordeaux)/Rue Huguerie, de la Rue Lhote jusqu'au 33 (Bordeaux);233743
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.234966;234966;91050;BORDEAUX;2024-07-10;2024-10-10;24BORAJPT14746;EMPRISE;Mesure libre circulation;297387;Quartier Bordeaux Centre Ville;234966
_5aa3e0d1-9073-11eb-97a2-135c120f17f7.242870;242870;102434;BORDEAUX;2024-09-18;2025-09-20;24BORAJPT21183;EMPRISE;Mesure libre circulation;307449;Place de Stalingrad;242870
